ccdc_code,spacegroup,is_overlapped,line_direction,m,n,x,y,k,sigma,theta
RIQFEG,C 1 2/c 1,False,"(0, 1, 0)",9.091,9.091,18.181612937250645,6.743,1.0000212886915307,90.0,69.654
RIQGIH,C 1 2/c 1,False,"(0, 1, 0)",9.776,9.776,19.551721382016467,9.68,1.0000142503045173,90.0,63.661
RITTET,C 1 2/c 1,False,"(0, 1, 0)",14.78,14.78,29.560090392283985,13.496,0.9999969420836408,90.0,65.46
RIVZON,C 1 2/c 1,False,"(0, 1, 0)",11.904,11.905,23.80979120026045,7.422,0.999966769962248,90.0,72.685
RIWCOQ01,C 1 2/c 1,False,"(0, 1, 0)",8.902,8.902,17.803378555768564,9.268,1.0000349059718912,90.0,62.498
RIWDEI,C 1 2/c 1,False,"(0, 1, 0)",9.23,9.231,18.46117509802667,7.492,0.9999905153368764,90.0,67.913
RIWKEP,C 1 2/c 1,False,"(0, 1, 0)",4.788,4.789,9.576418589431018,4.944,1.000060712735513,90.0,62.693
RIXFOV,C 1 2/c 1,False,"(0, 1, 0)",11.449,11.45,22.898970675556576,9.403,1.0000012806009424,90.0,67.678
RIYMAO,C 1 2/c 1,False,"(0, 1, 0)",8.422,8.422,16.844077238008616,8.015,0.9999954145301329,90.0,64.555
RIYPEX,C 1 2/c 1,False,"(0, 1, 0)",10.768,10.769,21.537089520174263,9.11,0.9999958434414186,90.0,67.07
RIYYUU,C 1 2/c 1,False,"(0, 1, 0)",10.447,10.448,20.89514032017972,6.003,0.999993284554324,90.0,73.969
RIZMEU,C 1 2/c 1,False,"(0, 1, 0)",8.74,8.741,17.480035040010645,8.178,1.0000552035500585,90.0,64.928
ROBJAW,I 1 2/a 1,False,"(0, 1, 0)",7.278,7.278,14.556,7.886,1.0,90.0,61.553
ROCYOY,C 1 2/c 1,False,"(0, 1, 0)",11.108,11.109,22.217032767676248,10.698,0.9999985251101444,90.0,64.286
ROFFIB,C 1 2/c 1,False,"(0, 1, 0)",12.734,12.735,25.46880087479581,10.919,1.0000078183973076,90.0,66.795
ROGFAX,C 1 2/c 1,False,"(0, 1, 0)",12.647,12.647,25.29433138076593,10.181,0.9999868990106542,90.0,68.073
ROGJUV,C 1 2/c 1,False,"(0, 1, 0)",16.39,16.391,32.780697567318484,9.646,1.0000092259379438,90.0,73.602
ROGNUY,C 1 2/c 1,False,"(0, 1, 0)",13.661,13.662,27.32366316949468,8.929,0.999975729114703,90.0,71.9
ROGPAG,C 1 2/c 1,False,"(0, 1, 0)",13.254,13.254,26.50806488599272,10.54,0.9999975522169198,90.0,68.314
ROHFEA,C 1 2/c 1,False,"(0, 1, 0)",11.327,11.328,22.654294449397447,7.148,1.0000311442320189,90.0,72.491
ROHGEC,C 1 2/c 1,False,"(0, 1, 0)",9.069,9.07,18.138827332548264,6.914,1.0000095192180054,90.0,69.133
ROJHIJ,C 1 2/c 1,False,"(0, 1, 0)",8.78,8.781,17.561924097319178,5.975,0.9999473806335766,90.0,71.207
